nome_fantasia,cnpj_parceiro,telefone_parceiro,id_parceiro
Marques Ferreira Ltda.,71.956.320/0001-68,71 8373-4031,71956320000168
Novaes,52.346.709/0001-47,0800-268-6025,52346709000147
Cirino,10.789.432/0001-87,41 9524 9911,10789432000187
Novais,12.403.859/0001-20,0900 376 1847,12403859000120
Andrade,15.863.492/0001-16,(071) 2090 4217,15863492000116
Albuquerque - ME,18.296.475/0001-32,+55 71 1027-6747,18296475000132
Oliveira Gomes S.A.,36.482.157/0001-48,11 5803-0468,36482157000148
Macedo,10.423.769/0001-76,(031) 9956 4122,10423769000176
Correia,95.831.024/0001-07,(011) 0566-4187,95831024000107
Sampaio,89.231.756/0001-55,+55 84 3865 6242,89231756000155
da Luz S.A.,78.543.692/0001-01,+55 (051) 6527-3543,78543692000101
Melo,13.486.579/0001-96,+55 11 9840-2891,13486579000196
Macedo Macedo S.A.,26.819.035/0001-40,(011) 2934-4973,26819035000140
Brito,58.091.462/0001-41,+55 (081) 0651 2070,58091462000141
Alves,70.136.845/0001-94,71 7389 9756,70136845000194
Fonseca,93.254.087/0001-04,+55 (021) 2041 7929,93254087000104
Leão,50.186.723/0001-03,+55 (041) 0074-9465,50186723000103
Caldeira,87.903.421/0001-00,(081) 3131 2206,87903421000100
Ferreira - EI,32.706.851/0001-40,(021) 6032-4204,32706851000140
Abreu,87.653.941/0001-02,+55 41 7731 8063,87653941000102
Guerra,97.306.152/0001-59,+55 84 3018-7186,97306152000159
da Paz,94.738.615/0001-63,0900 090 2259,94738615000163
Lopes Cavalcanti e Filhos,10.395.286/0001-05,71 6734-2575,10395286000105
da Luz Gonçalves S.A.,75.048.632/0001-24,0900 275 2437,75048632000124
Carvalho Sousa S/A,96.258.074/0001-00,0300-082-4043,96258074000100
Rocha e Filhos,65.140.839/0001-70,(061) 7332-9456,65140839000170
Rezende Monteiro - ME,84.931.625/0001-67,0800-499-9393,84931625000167
Monteiro Andrade S.A.,63.418.709/0001-21,0300-971-7911,63418709000121
Garcia,28.650.493/0001-24,+55 (084) 5668 6334,28650493000124
Mendes,69.457.012/0001-46,31 8143-1115,69457012000146
Guerra Araújo S.A.,49.086.132/0001-77,0300 465 1909,49086132000177
Porto,51.428.963/0001-21,21 1046 3681,51428963000121
Nogueira,31.287.095/0001-08,(011) 8962-7066,31287095000108
Rios Silva Ltda.,23.157.069/0001-29,+55 81 9444 0192,23157069000129
Azevedo,18.924.536/0001-69,0500-416-5162,18924536000169
Ribeiro,81.924.605/0001-70,31 7016 5804,81924605000170
Fogaça,38.671.409/0001-02,+55 51 2302 4102,38671409000102
Ferreira,29.803.475/0001-06,(011) 2737-1586,29803475000106
Cavalcante,67.042.319/0001-50,(051) 7901-4754,67042319000150
Pastor - ME,89.036.751/0001-71,+55 11 5048-8899,89036751000171
Moreira,26.194.750/0001-35,+55 71 7490 7539,26194750000135
Nogueira Cardoso e Filhos,27.538.469/0001-35,61 5714-2241,27538469000135
Vargas da Rocha S/A,73.458.106/0001-07,41 9804 2043,73458106000107
da Mota,48.526.193/0001-45,(081) 1536 6377,48526193000145
Martins Garcia Ltda.,24.917.653/0001-06,0500 264 9578,24917653000106
Pastor Câmara S/A,51.690.843/0001-06,+55 (081) 1780-7823,51690843000106
Vargas,94.586.732/0001-59,+55 61 0777-8097,94586732000159
Ramos Porto - EI,56.483.297/0001-48,31 7666 5674,56483297000148
Borges da Rocha Ltda.,39.864.210/0001-63,61 2128 6716,39864210000163
Casa Grande,24.137.089/0001-09,(041) 6119 5243,24137089000109
Borges S.A.,84.365.927/0001-15,+55 31 3290 2278,84365927000115
Gomes Marques Ltda.,82.756.439/0001-03,+55 (021) 6303-9752,82756439000103
Barbosa Macedo Ltda.,58.726.493/0001-21,+55 41 6346-6925,58726493000121
Fernandes,98.203.146/0001-39,+55 (081) 4591-1238,98203146000139
Pimenta,82.593.406/0001-90,41 5270-1713,82593406000190
Gomes Sales S.A.,17.462.508/0001-04,+55 81 3216 1107,17462508000104
da Cunha,75.832.104/0001-61,+55 (031) 8064-7969,75832104000161
Pastor,84.539.107/0001-00,+55 84 5086-4035,84539107000100
Moura,28.597.364/0001-10,+55 (041) 9377 1004,28597364000110
Nascimento,12.064.379/0001-82,11 9303-6149,12064379000182
da Costa,80.967.154/0001-96,+55 51 3283 3898,80967154000196
Montenegro da Luz S.A.,34.156.087/0001-02,+55 (021) 4765 8018,34156087000102
Mendonça Cunha Ltda.,24.570.639/0001-70,0900 543 1652,24570639000170
da Costa - ME,79.015.428/0001-68,+55 (051) 8353 5444,79015428000168
Campos,13.865.704/0001-79,(041) 1832-5823,13865704000179
Silva Fernandes S.A.,62.987.043/0001-60,+55 51 2863 9174,62987043000160
Martins,10.648.975/0001-84,(081) 8321 9719,10648975000184
Gomes - EI,27.416.938/0001-43,(061) 6939 2906,27416938000143
Albuquerque,06.243.195/0001-87,+55 41 1981-8984,06243195000187
Cassiano,82.916.470/0001-64,0800-433-7504,82916470000164
Teixeira e Filhos,60.481.375/0001-42,+55 31 7933-7563,60481375000142
Sousa,83.691.075/0001-93,61 0290 8466,83691075000193
Marques,10.298.654/0001-05,+55 (071) 0505-0573,10298654000105
Borges e Filhos,01.549.628/0001-03,+55 (011) 8776 6183,01549628000103
Carvalho Ltda.,56.907.231/0001-38,(021) 7174 6542,56907231000138
da Mata,24.190.358/0001-92,+55 (041) 5728-7032,24190358000192
Jesus,86.740.932/0001-96,0900 795 4538,86740932000196
Santos,19.064.732/0001-73,+55 41 0760 9543,19064732000173
da Cunha - ME,02.817.349/0001-46,+55 (021) 2438-6490,02817349000146
Santos Azevedo S/A,27.640.983/0001-87,+55 (084) 8848-7920,27640983000187
Souza,36.128.450/0001-01,51 2916 0324,36128450000101
Sá S/A,59.086.214/0001-75,+55 (084) 4152 0850,59086214000175
Mendonça,53.879.426/0001-23,11 1391-5596,53879426000123
Oliveira,08.341.926/0001-52,+55 (071) 9284-0445,08341926000152
Camargo,18.356.470/0001-58,(071) 9228-7772,18356470000158
da Cruz,83.279.064/0001-09,81 4577-6004,83279064000109
Pacheco,63.297.450/0001-08,+55 (061) 9656 9998,63297450000108
Ferreira S.A.,53.201.978/0001-88,(084) 9056 1655,53201978000188
Silveira,82.106.439/0001-68,41 9562 0175,82106439000168
Montenegro,47.562.019/0001-95,+55 51 0119 4707,47562019000195
Melo S/A,93.062.785/0001-08,11 4500 9025,93062785000108
Farias S/A,17.493.825/0001-98,0300-157-0184,17493825000198
Câmara,89.357.206/0001-87,(041) 7813 7674,89357206000187
da Cruz Moura - ME,68.920.435/0001-98,+55 (041) 8961-1223,68920435000198
Lopes,69.235.417/0001-30,0900 774 0633,69235417000130
Garcia S/A,07.123.946/0001-94,0300-279-1456,07123946000194
da Costa Cardoso - ME,39.048.725/0001-95,+55 (031) 5696 5917,39048725000195
Pinto,84.976.513/0001-22,+55 (084) 9392 8456,84976513000122
Duarte,93.486.750/0001-04,(041) 5677-0028,93486750000104
Leão e Filhos,52.894.317/0001-12,+55 71 0792-9049,52894317000112
Pereira Fogaça S.A.,79.038.251/0001-15,0500-996-6361,79038251000115
Carvalho,01.357.894/0001-34,+55 31 2010-1702,01357894000134
Pastor Cunha S.A.,71.396.240/0001-03,0500-724-3992,71396240000103
Correia Leão e Filhos,04.251.687/0001-99,(041) 7881-7884,04251687000199
Marques Abreu e Filhos,93.048.157/0001-78,+55 (071) 2205 0209,93048157000178
Marques Novaes S.A.,50.698.472/0001-38,(031) 1612 8463,50698472000138
Rodrigues Duarte S/A,41.985.720/0001-30,+55 81 3298 3248,41985720000130
Farias,69.327.841/0001-04,0900 886 4976,69327841000104
Castro,16.934.507/0001-52,+55 71 7158-9042,16934507000152
Costa,14.320.856/0001-59,+55 (051) 7341-5148,14320856000159
Barbosa Araújo S.A.,67.493.582/0001-66,+55 81 2891-0771,67493582000166
Nogueira da Cunha S.A.,72.560.143/0001-69,61 4027 0116,72560143000169
Jesus Mendonça - ME,95.321.487/0001-10,(021) 6997 3354,95321487000110
Fonseca Lopes S/A,21.068.975/0001-21,+55 81 5431 0742,21068975000121
Teixeira,08.193.762/0001-63,(021) 7022 9604,08193762000163
da Rosa Albuquerque e Filhos,52.093.841/0001-94,(041) 5923-0450,52093841000194
Guerra Farias Ltda.,38.241.795/0001-00,+55 (084) 6459-7010,38241795000100
Mendonça e Filhos,37.195.026/0001-42,+55 (051) 2714 8727,37195026000142
da Rocha da Conceição Ltda.,43.291.087/0001-06,(051) 7749-0509,43291087000106
Rios - EI,23.654.987/0001-63,+55 (041) 9109 3911,23654987000163
Lima,94.021.873/0001-24,+55 41 6493 2898,94021873000124
Aparecida,79.562.304/0001-00,(041) 5063-5190,79562304000100
Pires Rodrigues Ltda.,26.017.845/0001-83,0300-599-5946,26017845000183
Sousa Farias - ME,14.385.697/0001-70,+55 (011) 2194 6723,14385697000170
Pires Brito e Filhos,43.908.267/0001-94,+55 31 2182 0970,43908267000194
Pimenta e Filhos,50.692.487/0001-99,(011) 0122-7770,50692487000199
Lopes Ltda.,49.306.785/0001-14,+55 41 6321-2347,49306785000114
Barbosa,27.613.948/0001-79,+55 11 1856 7243,27613948000179
Sá,84.907.316/0001-51,81 6372 3950,84907316000151
Camargo S/A,75.698.413/0001-90,61 7005-0506,75698413000190
Melo Pimenta S/A,36.150.827/0001-29,(021) 9297 5170,36150827000129
Nascimento Siqueira S.A.,82.934.057/0001-22,61 2168 9363,82934057000122
Lima Camargo - EI,19.078.524/0001-23,+55 (051) 8015-6193,19078524000123
Teixeira S.A.,54.970.613/0001-80,21 1054-8510,54970613000180
da Costa e Filhos,46.298.301/0001-44,+55 81 4762-6393,46298301000144
Barbosa Macedo - EI,10.745.892/0001-03,0300-758-1724,10745892000103
Nunes S.A.,32.571.809/0001-60,+55 41 3578 5294,32571809000160
Pinto da Cunha e Filhos,39.582.407/0001-00,61 6371-5974,39582407000100
Rocha,39.465.072/0001-40,(061) 3136 3631,39465072000140
Pacheco Ltda.,37.915.620/0001-60,+55 (084) 7058 0256,37915620000160
Azevedo Leão - ME,70.512.493/0001-24,(021) 0310-8907,70512493000124
Correia Correia - EI,51.243.687/0001-27,31 1615-8148,51243687000127
da Cunha Aparecida e Filhos,05.931.862/0001-51,+55 (061) 0780 6867,05931862000151
Campos Novais - ME,83.057.142/0001-12,+55 (061) 1941-6800,83057142000112
Vasconcelos Moreira - ME,54.203.876/0001-64,61 1027 7697,54203876000164
Barbosa - EI,46.123.578/0001-36,61 3667-4286,46123578000136
Nunes e Filhos,60.413.782/0001-12,84 0529-2407,60413782000112
Vieira Rodrigues - ME,06.948.123/0001-35,0800 826 6570,06948123000135
Ribeiro S/A,15.072.963/0001-78,51 6462 2522,15072963000178
Rios,29.645.783/0001-42,(031) 7622-8277,29645783000142
Monteiro Ltda.,32.097.618/0001-08,+55 81 9657 7242,32097618000108
Porto da Luz S.A.,72.193.856/0001-31,+55 (081) 2806-3461,72193856000131
Cardoso Viana - EI,18.796.230/0001-74,+55 (071) 6458-7506,18796230000174
Peixoto,98.603.142/0001-48,+55 31 7342 0696,98603142000148
Câmara Alves e Filhos,40.182.675/0001-13,+55 (021) 7722-0054,40182675000113
da Luz,69.273.150/0001-75,84 5140-3696,69273150000175
Rodrigues - EI,98.274.613/0001-11,(041) 7421 2309,98274613000111
Brito Brito e Filhos,82.974.306/0001-03,0800-587-0207,82974306000103
Andrade Dias - ME,48.195.760/0001-28,+55 84 6292 5188,48195760000128
Sales Ltda.,85.374.690/0001-00,+55 41 8167-4233,85374690000100
da Conceição S/A,54.029.617/0001-69,+55 (084) 0768-1040,54029617000169
Aragão - EI,73.891.425/0001-01,+55 (011) 9738 4689,73891425000101
Rios da Mata e Filhos,46.793.508/0001-95,+55 (031) 0555-4384,46793508000195
Sá Câmara e Filhos,47.291.650/0001-05,21 0701-7656,47291650000105
Guerra Campos - EI,23.518.467/0001-23,(081) 8077 8795,23518467000123
Marques S.A.,82.760.543/0001-71,81 4628 7923,82760543000171
Fonseca Ltda.,98.632.150/0001-12,0500 952 9978,98632150000112
Almeida,75.924.680/0001-39,+55 31 7946 9548,75924680000139
Barros e Filhos,38.475.210/0001-09,+55 (041) 7139 6605,38475210000109
Silva das Neves - ME,93.018.674/0001-02,81 0849 5880,93018674000102
Novais S.A.,05.813.476/0001-65,(031) 7851 9610,05813476000165
Santos e Filhos,53.028.194/0001-08,(081) 7845 2182,53028194000108
Pimenta Nunes Ltda.,69.705.832/0001-00,+55 (051) 4112-4127,69705832000100
Pimenta Aparecida e Filhos,45.682.097/0001-06,51 4357 9786,45682097000106
Leão Rezende S/A,45.621.703/0001-75,(081) 3380 3396,45621703000175
Gomes,30.476.915/0001-39,+55 51 7350 5831,30476915000139
Castro S/A,92.670.451/0001-54,+55 (081) 8069 5814,92670451000154
Borges,08.943.652/0001-71,21 7126 6110,08943652000171
da Rocha Cunha S/A,60.174.593/0001-34,+55 84 6796 9278,60174593000134
Casa Grande Alves S/A,05.163.789/0001-15,(051) 5208-8547,05163789000115
Barros,60.841.275/0001-80,(051) 9779 4523,60841275000180
Monteiro Silva Ltda.,86.159.704/0001-27,61 6870-0794,86159704000127
Freitas da Paz S.A.,76.540.893/0001-20,0800 673 9385,76540893000120
da Luz Moura - EI,20.935.647/0001-12,0300 902 3557,20935647000112
da Luz Ribeiro S/A,61.435.872/0001-77,+55 (021) 1667 9984,61435872000177
Pires,27.593.016/0001-01,+55 21 1039 2405,27593016000101
Borges Ltda.,73.658.420/0001-33,+55 11 1800 5375,73658420000133
da Mata da Paz - EI,94.350.628/0001-60,+55 (051) 7173-9627,94350628000160
da Luz Viana e Filhos,04.567.238/0001-54,+55 41 3800-5452,04567238000154
Guerra Sales S.A.,82.195.430/0001-70,0500-900-4896,82195430000170
Souza Borges - ME,80.291.754/0001-87,(071) 2170 7303,80291754000187
Castro Ltda.,85.316.427/0001-56,+55 81 8813 7702,85316427000156
Lopes Viana - EI,63.729.548/0001-97,41 5695-5798,63729548000197
Peixoto S/A,21.798.640/0001-69,41 1155-6260,21798640000169
Araújo Moraes S/A,17.592.830/0001-58,+55 21 2847 8189,17592830000158
Azevedo Cardoso Ltda.,38.617.452/0001-90,+55 71 2871 5399,38617452000190
da Luz Aragão S.A.,79.485.312/0001-92,+55 (041) 1416-1415,79485312000192
Nunes Silva Ltda.,94.368.701/0001-21,(031) 4231-2209,94368701000121
da Conceição Montenegro - EI,15.207.483/0001-77,0800 334 4196,15207483000177
Mendonça Câmara Ltda.,12.738.605/0001-63,11 1647-9473,12738605000163
Cavalcanti,19.740.658/0001-68,+55 (084) 2346-7299,19740658000168
Brito Garcia Ltda.,17.253.086/0001-67,0900-407-0164,17253086000167
Jesus Rezende S.A.,53.091.426/0001-64,(051) 6769-9150,53091426000164
Aparecida Andrade Ltda.,42.153.870/0001-40,0500-976-8389,42153870000140
Vargas Ltda.,36.215.940/0001-45,61 2207-8113,36215940000145
Sales,52.846.701/0001-40,84 5196-1159,52846701000140
Machado,85.709.432/0001-29,41 4775-9655,85709432000129
Rodrigues e Filhos,02.563.479/0001-08,0300 222 2064,02563479000108
Martins Ltda.,46.379.580/0001-70,+55 81 9690-3337,46379580000170
da Costa Castro S.A.,05.197.284/0001-71,84 2582 7390,05197284000171
Sá Martins - EI,73.920.856/0001-59,(061) 7002 7206,73920856000159
das Neves - ME,27.591.460/0001-98,+55 (061) 3164-3348,27591460000198
Ramos Cassiano Ltda.,74.126.908/0001-82,+55 71 8374 5508,74126908000182
Correia Cunha e Filhos,65.721.394/0001-12,31 4993-9089,65721394000112
Pinto S/A,51.793.682/0001-78,(084) 3331 5377,51793682000178
Pires - EI,01.538.479/0001-87,41 1033 9937,01538479000187
Azevedo - ME,52.138.796/0001-47,81 1081-8661,52138796000147
Albuquerque - EI,82.570.196/0001-14,31 8377 6749,82570196000114
Caldeira e Filhos,35.691.470/0001-23,+55 11 4066 5044,35691470000123
Teixeira Fernandes S/A,61.948.725/0001-09,0500 086 4168,61948725000109
Gomes Ltda.,24.019.675/0001-40,+55 (021) 7167 8112,24019675000140
Machado - EI,18.694.372/0001-20,(071) 1076 2091,18694372000120
Cunha,32.489.106/0001-97,71 5880-0616,32489106000197
Barbosa Pastor e Filhos,43.850.296/0001-42,+55 (011) 3246-6513,43850296000142
Vasconcelos S.A.,92.685.710/0001-10,+55 (084) 5148-4685,92685710000110
Cassiano Freitas S.A.,27.549.830/0001-29,81 1472-1458,27549830000129
Costela Ltda.,58.314.067/0001-80,+55 61 1824 2241,58314067000180
da Rosa Ltda.,17.560.438/0001-27,(084) 6704 3103,17560438000127
Vasconcelos,08.123.675/0001-30,+55 (021) 1166 9183,08123675000130
Costela - ME,50.987.326/0001-22,0800 552 8938,50987326000122
Martins Cardoso - EI,06.745.819/0001-64,+55 (081) 9613-6749,06745819000164
Albuquerque Fogaça S.A.,73.549.286/0001-32,+55 (081) 7281-7932,73549286000132
Rios Caldeira Ltda.,72.418.639/0001-00,(011) 5651-9825,72418639000100
Moreira S.A.,46.798.305/0001-91,+55 (021) 8677 1333,46798305000191
da Costa - EI,59.734.260/0001-33,0900-102-5743,59734260000133
Vasconcelos e Filhos,03.621.547/0001-00,81 5033 3491,03621547000100
Marques Ltda.,47.135.298/0001-00,+55 (051) 3083-7081,47135298000100
Azevedo Teixeira - EI,13.678.905/0001-67,(011) 3370-5024,13678905000167
da Rocha,35.621.094/0001-09,+55 (031) 4375-7383,35621094000109
Marques S/A,03.461.279/0001-07,(011) 3270 1851,03461279000107
Gomes - ME,41.693.725/0001-90,+55 (051) 7937-1452,41693725000190
Caldeira Sampaio Ltda.,09.635.714/0001-40,81 4424 9363,09635714000140
Alves e Filhos,67.103.492/0001-11,81 6593 9836,67103492000111
Alves S/A,40.568.219/0001-06,+55 (021) 1075-2245,40568219000106
Borges da Mota - ME,38.069.452/0001-00,+55 41 2481 5698,38069452000100
das Neves,39.215.064/0001-45,+55 41 6831-4727,39215064000145
Araújo da Costa - EI,41.537.260/0001-88,11 7293-4301,41537260000188
Carvalho S.A.,51.086.479/0001-61,+55 (051) 4013-2234,51086479000161
Nogueira Andrade Ltda.,53.721.869/0001-91,+55 71 3878 2931,53721869000191
Peixoto Ltda.,34.812.567/0001-84,81 8339 0198,34812567000184
Montenegro Caldeira e Filhos,26.374.589/0001-81,+55 (031) 4999-8279,26374589000181
Teixeira - EI,41.089.326/0001-14,(011) 2801 3875,41089326000114
da Mata Castro e Filhos,56.789.413/0001-51,+55 (011) 4876-3290,56789413000151
Siqueira,04.732.156/0001-18,+55 61 4134-3275,04732156000118
Rezende,13.280.549/0001-29,11 1892-4195,13280549000129
Dias,27.910.485/0001-07,+55 (011) 7495-4508,27910485000107
Gonçalves - EI,71.206.584/0001-02,0900 465 7967,71206584000102
da Conceição e Filhos,94.356.721/0001-82,+55 (081) 4108-5628,94356721000182
Peixoto - ME,41.270.865/0001-55,(051) 6253-4929,41270865000155
Araújo - ME,46.281.375/0001-78,+55 (061) 5577-0171,46281375000178
Novaes - ME,85.730.216/0001-65,81 1706 3048,85730216000165
Carvalho Moraes - ME,68.719.420/0001-66,61 6086-8034,68719420000166
Macedo S.A.,23.641.759/0001-59,71 2050 1508,23641759000159
Sales Melo e Filhos,54.823.017/0001-78,+55 41 9735-9710,54823017000178
Pereira e Filhos,18.420.763/0001-57,11 5366 6845,18420763000157
Melo Alves - EI,29.537.460/0001-35,31 1558-3938,29537460000135
Pacheco Peixoto S/A,85.463.970/0001-86,84 5442 0949,85463970000186
Souza S/A,82.147.395/0001-14,+55 (011) 9013 8069,82147395000114
Gonçalves,52.169.830/0001-40,0800-690-8357,52169830000140
Lopes Cardoso S/A,73.582.690/0001-08,+55 (051) 2707 9032,73582690000108
Aragão Ltda.,05.167.928/0001-89,0900 160 1692,05167928000189
Viana,07.241.538/0001-37,0500-700-2687,07241538000137
Ramos,93.748.502/0001-86,(031) 9956-3531,93748502000186
Ribeiro Barros Ltda.,54.129.708/0001-76,+55 41 1059-2745,54129708000176
Ribeiro - EI,09.417.362/0001-57,71 0741-2094,09417362000157
Costa Almeida - EI,37.419.085/0001-57,(051) 6986-4079,37419085000157
Pereira,97.163.520/0001-57,81 4550-4892,97163520000157
das Neves - EI,91.782.063/0001-00,+55 (031) 8297 3748,91782063000100
da Mota Rios - ME,14.589.763/0001-24,+55 (031) 9435 3344,14589763000124
Souza Ltda.,35.401.862/0001-00,(011) 8765-3269,35401862000100
Aragão e Filhos,06.714.893/0001-13,71 1919 6570,06714893000113
Azevedo da Mota - ME,41.963.572/0001-53,(061) 5379 5020,41963572000153
Cavalcante Cavalcanti S/A,76.549.801/0001-72,+55 (071) 8655-9630,76549801000172
Rocha das Neves S.A.,71.248.630/0001-28,71 2841-0672,71248630000128
Moraes Melo e Filhos,63.257.190/0001-47,+55 (041) 9284-2222,63257190000147
Porto Sá - ME,82.403.195/0001-85,+55 71 4764 9251,82403195000185
Cassiano e Filhos,01.682.537/0001-41,+55 (071) 8277 1812,01682537000141
Vieira - EI,76.543.092/0001-18,+55 61 2303 4778,76543092000118
da Mota Macedo S/A,92.518.043/0001-81,+55 (021) 2845 7652,92518043000181
Silva Sampaio - ME,90.237.146/0001-48,11 1509 3983,90237146000148
Cardoso Ribeiro - ME,30.192.685/0001-86,(031) 8850 1556,30192685000186
Azevedo Peixoto S/A,93.207.481/0001-91,+55 31 3718 9490,93207481000191
Duarte - EI,14.978.052/0001-41,(021) 0256-4347,14978052000141
Silveira Ltda.,78.390.125/0001-62,(011) 4989-3195,78390125000162
da Costa Cavalcanti - EI,04.659.823/0001-84,+55 (051) 7678 9973,04659823000184
Ramos Azevedo e Filhos,46.932.781/0001-53,+55 (021) 6506 3731,46932781000153
Martins Porto Ltda.,06.352.789/0001-26,0800-128-6857,06352789000126
Casa Grande Rezende e Filhos,65.921.873/0001-82,+55 (071) 7599-8056,65921873000182
Campos Silveira S.A.,68.095.734/0001-35,+55 61 7075 8777,68095734000135
Viana Peixoto S/A,03.175.829/0001-13,(011) 2644-8869,03175829000113
Câmara Azevedo Ltda.,15.283.790/0001-37,(041) 5046 1735,15283790000137
Moraes,84.036.529/0001-55,(061) 1996 6365,84036529000155
Câmara S/A,81.974.502/0001-15,0900 138 2496,81974502000115
Cassiano S.A.,12.653.749/0001-17,+55 61 7226 0164,12653749000117
Souza Novais - EI,25.197.308/0001-08,+55 (051) 6046 3331,25197308000108
Martins e Filhos,02.739.645/0001-76,+55 (021) 5521-3760,02739645000176
Sampaio Lima Ltda.,56.893.720/0001-88,+55 21 2067-9981,56893720000188
Pastor - EI,54.318.792/0001-76,(041) 4384-2150,54318792000176
Sampaio Moreira - ME,76.193.402/0001-11,+55 (031) 6629-9123,76193402000111
Campos Marques S/A,70.381.694/0001-30,(071) 2732 3008,70381694000130
da Paz Macedo e Filhos,89.602.145/0001-76,+55 (021) 4620-9520,89602145000176
da Conceição Ltda.,75.306.842/0001-75,0900 597 2466,75306842000175
Abreu Ltda.,82.617.945/0001-11,71 0158 5174,82617945000111
Fogaça S.A.,37.465.092/0001-95,+55 (084) 1179 9313,37465092000195
Monteiro Pacheco S.A.,86.410.572/0001-64,+55 (071) 4289 7317,86410572000164
da Luz - ME,67.035.914/0001-69,41 7734-7784,67035914000169
Santos Castro Ltda.,56.132.490/0001-34,31 8614-0578,56132490000134
da Mota Aparecida S/A,69.045.813/0001-02,+55 11 8961 6423,69045813000102
Melo Ltda.,79.085.264/0001-45,(051) 8593-1109,79085264000145
Porto da Mota - EI,10.563.289/0001-00,+55 11 8321 9285,10563289000100
Duarte S/A,91.376.805/0001-90,+55 (081) 3423-4258,91376805000190
Araújo,74.912.068/0001-83,+55 21 4982 8246,74912068000183
Correia - EI,21.985.406/0001-40,0300 837 8018,21985406000140
Farias e Filhos,65.839.402/0001-20,(041) 9685 4982,65839402000120
Pacheco Lopes e Filhos,01.735.486/0001-79,+55 84 6831 5893,01735486000179
Fogaça Ltda.,23.496.851/0001-72,+55 11 8361-5171,23496851000172
